# Contents:,Laser Egg f58c98f3-3e63-477d-9091-f501d45d6c5a 39 hours raw data
# Sent To:,<pvschaikm@gmail.com>
# Generated At:,2025-04-22 09:01
# Time Span:,2025-04-21 09:01 to 2025-04-22 23:59
# Row Count:,389
# Time Zone:,UTC+0100
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),st03.TVOC (ppb),temp (C),Overall Index (US),Primary Pollutant
2025-04-21 09:30:13,,,52.94,,22.94,,
2025-04-21 09:31:13,1,1,45.52,,23.18,4,PM2.5
2025-04-21 09:32:13,2,1,46.13,,22.89,4,PM2.5
2025-04-21 09:33:13,0,0,46.6,,22.75,0,PM10
2025-04-21 09:34:12,0,0,47.09,,22.65,0,PM10
2025-04-21 09:35:12,1,0,47.47,,22.57,0,PM10
2025-04-21 09:36:12,0,0,47.81,3,22.51,0,PM10
2025-04-21 09:37:12,2,2,48.14,4,22.47,8,PM2.5
2025-04-21 09:38:12,0,0,48.35,2,22.44,0,PM10
2025-04-21 09:39:12,2,1,48.5,3,22.42,4,PM2.5
2025-04-21 09:40:12,0,0,48.59,3,22.44,0,PM10
2025-04-21 09:41:12,1,0,48.63,2,22.45,0,PM10
2025-04-21 09:42:12,0,0,48.73,4,22.46,0,PM10
2025-04-21 09:43:12,2,0,48.84,6,22.49,1,PM10
2025-04-21 09:44:12,2,1,49.04,7,22.52,4,PM2.5
2025-04-21 09:45:12,1,0,49.01,5,22.55,1,TVOC
2025-04-21 09:46:11,0,0,49.13,16,22.6,3,TVOC
2025-04-21 09:47:11,0,0,49.22,26,22.65,6,TVOC
2025-04-21 09:48:11,0,0,49.29,31,22.7,7,TVOC
2025-04-21 09:49:11,0,0,49.31,35,22.76,8,TVOC
2025-04-21 09:50:11,0,0,49.36,33,22.83,7,TVOC
2025-04-21 09:51:11,0,0,49.51,37,22.88,8,TVOC
2025-04-21 09:52:11,0,0,49.43,41,22.94,9,TVOC
2025-04-21 09:53:11,0,0,49.44,42,23,9,TVOC
2025-04-21 09:54:11,0,0,49.47,39,23.07,9,TVOC
2025-04-21 09:55:10,0,0,49.42,45,23.14,10,TVOC
2025-04-21 09:56:10,0,0,49.43,43,23.2,9,TVOC
2025-04-21 09:57:10,0,0,49.35,42,23.25,9,TVOC
2025-04-21 09:58:10,0,0,49.29,44,23.31,10,TVOC
2025-04-21 09:59:10,0,0,49.19,45,23.36,10,TVOC
2025-04-21 10:00:10,0,0,49.04,44,23.41,10,TVOC
2025-04-21 10:01:10,0,0,48.88,42,23.46,9,TVOC
2025-04-21 10:02:10,0,0,48.73,39,23.51,9,TVOC
2025-04-21 10:03:10,0,0,48.66,35,23.54,8,TVOC
2025-04-21 10:04:10,0,0,48.64,35,23.57,8,TVOC
2025-04-21 10:05:10,0,0,48.76,34,23.6,7,TVOC
2025-04-21 10:06:10,0,0,48.61,31,23.63,7,TVOC
2025-04-21 10:07:09,0,0,48.61,32,23.66,7,TVOC
2025-04-21 10:08:09,0,0,48.42,31,23.7,7,TVOC
2025-04-21 10:09:09,0,0,48.31,29,23.75,6,TVOC
2025-04-21 10:10:09,0,0,48.26,26,23.78,6,TVOC
2025-04-21 10:11:09,0,0,48.13,24,23.82,5,TVOC
2025-04-21 10:12:09,0,0,48.03,20,23.87,4,TVOC
2025-04-21 10:13:09,0,0,48.03,18,23.9,4,TVOC
2025-04-21 10:14:09,0,0,47.87,17,23.93,3,TVOC
2025-04-21 10:15:09,0,0,48.07,15,23.95,3,TVOC
2025-04-21 10:16:08,0,0,47.96,21,23.97,4,TVOC
2025-04-21 10:17:08,0,0,47.83,17,24,3,TVOC
2025-04-21 10:18:08,0,0,47.81,17,24.03,3,TVOC
2025-04-21 10:19:08,0,0,47.71,18,24.07,4,TVOC
2025-04-21 10:20:09,0,0,47.59,16,24.11,3,TVOC
2025-04-21 10:21:09,0,0,47.44,9,24.15,2,TVOC
2025-04-21 10:22:09,0,0,47.4,8,24.18,1,TVOC
2025-04-21 10:23:09,0,0,47.39,6,24.2,1,TVOC
2025-04-21 10:24:08,0,0,47.26,7,24.22,1,TVOC
2025-04-21 10:25:08,0,0,47.5,6,24.23,1,TVOC
2025-04-21 10:26:08,0,0,47.32,10,24.24,2,TVOC
2025-04-21 10:27:08,0,0,47.28,11,24.27,2,TVOC
2025-04-21 10:28:08,0,0,47.47,11,24.3,2,TVOC
2025-04-21 10:29:08,0,0,47.32,9,24.33,2,TVOC
2025-04-21 10:30:07,0,0,47.28,9,24.37,2,TVOC
2025-04-21 10:31:07,0,0,47.14,7,24.39,1,TVOC
2025-04-21 10:32:07,0,0,47.2,5,24.4,1,TVOC
2025-04-21 10:33:07,0,0,47.53,6,24.41,1,TVOC
2025-04-21 10:34:07,0,0,47.61,9,24.42,2,TVOC
2025-04-21 10:35:06,0,0,47.55,10,24.44,2,TVOC
2025-04-21 10:36:06,0,0,47.63,7,24.46,1,TVOC
2025-04-21 10:37:06,0,0,47.52,12,24.49,2,TVOC
2025-04-21 10:38:06,0,0,47.55,9,24.51,2,TVOC
2025-04-21 10:39:06,0,0,47.45,9,24.54,2,TVOC
2025-04-21 10:40:06,0,0,47.39,9,24.57,2,TVOC
2025-04-21 10:41:06,0,0,47.31,7,24.58,1,TVOC
2025-04-21 10:42:06,0,0,47.31,7,24.59,1,TVOC
2025-04-21 10:43:06,0,0,47.42,7,24.6,1,TVOC
2025-04-21 10:44:06,0,0,47.54,8,24.6,1,TVOC
2025-04-21 10:45:05,0,0,47.54,10,24.6,2,TVOC
2025-04-21 10:46:05,0,0,47.44,8,24.62,1,TVOC
2025-04-21 10:47:05,0,0,47.56,12,24.63,2,TVOC
2025-04-21 10:48:05,0,0,47.42,9,24.66,2,TVOC
2025-04-21 10:49:05,0,0,47.28,10,24.67,2,TVOC
2025-04-21 10:50:05,0,0,47.3,6,24.69,1,TVOC
2025-04-21 10:51:05,0,0,47.17,7,24.71,1,TVOC
2025-04-21 10:52:05,0,0,47.11,5,24.72,1,TVOC
2025-04-21 10:53:04,0,0,47.13,8,24.71,1,TVOC
2025-04-21 10:54:04,0,0,47.24,6,24.72,1,TVOC
2025-04-21 10:55:04,0,0,47.42,7,24.73,1,TVOC
2025-04-21 10:56:04,0,0,47.29,11,24.73,2,TVOC
2025-04-21 10:57:04,0,0,47.48,11,24.75,2,TVOC
2025-04-21 10:58:04,0,0,47.39,16,24.77,3,TVOC
2025-04-21 10:59:04,0,0,47.34,16,24.79,3,TVOC
2025-04-21 11:00:04,0,0,47.31,14,24.81,3,TVOC
2025-04-21 11:01:04,0,0,47.24,12,24.82,2,TVOC
2025-04-21 11:02:04,0,0,47.14,12,24.84,2,TVOC
2025-04-21 11:03:04,0,0,47.31,12,24.84,2,TVOC
2025-04-21 11:04:04,0,0,47.31,12,24.84,2,TVOC
2025-04-21 11:05:03,0,0,47.16,12,24.84,2,TVOC
2025-04-21 11:06:03,0,0,47.17,11,24.84,2,TVOC
2025-04-21 11:07:03,0,0,47.11,12,24.84,2,TVOC
2025-04-21 11:08:03,0,0,47.09,13,24.85,3,TVOC
2025-04-21 11:09:03,0,0,47.05,16,24.87,3,TVOC
2025-04-21 11:10:03,0,0,47.02,14,24.9,3,TVOC
2025-04-21 11:11:03,0,0,46.9,15,24.93,3,TVOC
2025-04-21 11:12:03,0,0,46.83,11,24.94,2,TVOC
2025-04-21 11:13:03,0,0,46.78,9,24.95,2,TVOC
2025-04-21 11:14:03,0,0,46.79,11,24.95,2,TVOC
2025-04-21 11:15:03,0,0,46.83,9,24.94,2,TVOC
2025-04-21 11:16:02,0,0,47.02,17,24.95,3,TVOC
2025-04-21 11:17:02,0,0,46.94,18,24.95,4,TVOC
2025-04-21 11:18:02,0,0,46.93,19,24.96,4,TVOC
2025-04-21 11:19:02,0,0,46.9,20,24.99,4,TVOC
2025-04-21 11:20:03,0,0,46.8,20,25.01,4,TVOC
2025-04-21 11:21:03,0,0,46.78,20,25.04,4,TVOC
2025-04-21 11:22:03,0,0,46.67,20,25.06,4,TVOC
2025-04-21 11:23:03,0,0,46.55,16,25.07,3,TVOC
2025-04-21 11:24:03,0,0,46.58,13,25.09,3,TVOC
2025-04-21 11:25:02,0,0,46.57,16,25.09,3,TVOC
2025-04-21 11:26:02,0,0,46.48,12,25.09,2,TVOC
2025-04-21 11:27:02,0,0,46.56,11,25.09,2,TVOC
2025-04-21 11:28:02,0,0,46.61,15,25.09,3,TVOC
2025-04-21 11:29:02,0,0,46.57,15,25.09,3,TVOC
2025-04-21 11:30:02,0,0,46.56,18,25.1,4,TVOC
2025-04-21 11:31:07,0,0,42.52,0,27.5,0,PM10
2025-04-21 11:32:07,0,0,43.59,16,26.78,3,TVOC
2025-04-21 11:33:07,0,0,46.44,2,25.59,0,PM10
2025-04-21 11:34:07,0,0,46.53,2,25.56,0,PM10
2025-04-21 11:35:07,0,0,46.77,2,25.53,0,PM10
2025-04-21 11:36:07,0,0,46.94,1,25.47,0,PM10
2025-04-21 11:37:07,0,0,46.97,9,25.42,2,TVOC
2025-04-21 11:38:07,0,0,48.03,15,25.18,3,TVOC
2025-04-21 11:39:06,0,0,47.86,14,25.13,3,TVOC
